n, H[n]
673, 181904175
674, 182367900
675, 182831974
676, 183296396
677, 183761165
678, 184226280
679, 184691740
680, 185157544
681, 185623691
682, 186090180
683, 186557010
684, 187024180
685, 187491689
686, 187959536
687, 188427720
688, 188896240
689, 189365095
690, 189834284
691, 190303806
692, 190773660
693, 191243845
694, 191714360
695, 192185204
696, 192656376
697, 193127875
698, 193599700
699, 194071850
700, 194544324
701, 195017121
702, 195490240
703, 195963680
704, 196437440
705, 196911519
706, 197385916
707, 197860630
708, 198335660
709, 198811005
710, 199286664
711, 199762636
712, 200238920
713, 200715515
714, 201192420
715, 201669634
716, 202147156
717, 202624985
718, 203103120
719, 203581560
720, 204060304
721, 204539351
722, 205018700
723, 205498350
724, 205978300
725, 206458549
726, 206939096
727, 207419940
728, 207901080
729, 208382515
730, 208864244
731, 209346266
732, 209828580
733, 210311185
734, 210794080
735, 211277264
736, 211760736
737, 212244495
738, 212728540
739, 213212870
740, 213697484
741, 214182381
742, 214667560
743, 215153020
744, 215638760
745, 216124779
746, 216611076
747, 217097650
748, 217584500
749, 218071625
750, 218559024
751, 219046696
752, 219534640
753, 220022855
754, 220511340
755, 221000094
756, 221489116
757, 221978405
758, 222467960
759, 222957780
760, 223447864
761, 223938211
762, 224428820
763, 224919690
764, 225410820
765, 225902209
766, 226393856
767, 226885760
768, 227377920
769, 227870335
770, 228363004
771, 228855926
772, 229349100
773, 229842525
774, 230336200
775, 230830124
776, 231324296
777, 231818715
778, 232313380
779, 232808290
780, 233303444
781, 233798841
782, 234294480
783, 234790360
784, 235286480
785, 235782839
786, 236279436
787, 236776270
788, 237273340
789, 237770645
790, 238268184
791, 238765956
792, 239263960
793, 239762195
794, 240260660
795, 240759354
796, 241258276
797, 241757425
798, 242256800
799, 242756400
800, 243256224
801, 243756271
802, 244256540
803, 244757030
804, 245257740
805, 245758669
806, 246259816
807, 246761180
808, 247262760
809, 247764555
810, 248266564
811, 248768786
812, 249271220
813, 249773865
814, 250276720
815, 250779784
816, 251283056
817, 251786535
818, 252290220
819, 252794110
820, 253298204
821, 253802501
822, 254307000
823, 254811700
824, 255316600
825, 255821699
826, 256326996
827, 256832490
828, 257338180
829, 257844065
830, 258350144
831, 258856416
832, 259362880
833, 259869535
834, 260376380
835, 260883414
836, 261390636
837, 261898045
838, 262405640
839, 262913420
840, 263421384
841, 263929531
842, 264437860
843, 264946370
844, 265455060
845, 265963929
846, 266472976
847, 266982200
848, 267491600
849, 268001175
850, 268510924
851, 269020846
852, 269530940
853, 270041205
854, 270551640
855, 271062244
856, 271573016
857, 272083955
858, 272595060
859, 273106330
